Food,Scientific,Group,SubGroup
seal,Phoca largha,fish,Pinnipeds
herring,Clupea pallasii,fish,fish
rockfish,Sebastes,fish,fish
pike,Esox lucius,fish,fish
smelt,Osmerus mordax,fish,fish
trout,Oncorhynchus mykiss,fish,fish
Sablefish,Anoplopoma fimbria,fish,fish
salmon,Oncorhynchus gorbuscha,fish,fish
mackerel,Scomberomorus maculatus,fish,fish
sardine,Sardinops sagax,fish,fish
Scallop,Pectinidae,fish,Mollusks
Scup,Stenotomus chrysops,fish,fish
Sea cucumber,Parastichopus californicus,fish,Other fish
sea lion,Eumetopias jubatus,fish,Pinnipeds
Seatrout,Cynoscion,fish,fish
shad,Alosa sapidissima,fish,fish
Shark,Squaliformes,fish,fish
Sheefish,Stenodus leucichthys,fish,fish
Sheepshead,Archosargus probatocephalus,fish,fish
Snapper,Lutjanidae,fish,fish
Spirulina,Spirulina,fish,Seaweed
sturgeon,Acipenser,fish,fish
sunfish,Lepomis gibbosus,fish,fish
Swordfish,Xiphias gladius,fish,fish
Tilefish,Lopholatilus chamaeleonticeps,fish,fish
Trout,Salmonidae,fish,fish
Walleye,Sander vitreus,fish,fish
pollock,Theragra chalcogramma,fish,fish
Whelk,Buccinidae,fish,Mollusks
Whitefish,Coregonus,fish,fish
Whiting,Merlangius merlangus,fish,fish
amberjack,Seriola lalandi,fish,fish
Pollock,Pollachius,fish,fish
cod,Gadus,fish,fish
halibut,Hippoglossus hippoglossus,fish,fish
Smelt,Osmeridae,fish,fish
Sardine,Clupeinae,fish,fish
Squid,Teuthida,fish,Mollusks
Shrimp,Caridea,fish,Crustaceans
Crayfish,Astacidea,fish,Crustaceans
Flatfish,Pleuronectiformes,fish,fish
Walrus,Odobenus rosmarus,fish,Pinnipeds
laver,Porphyra laciniata,fish,Seaweed
Wakame,Undaria pinnatifida,fish,Seaweed
croaker,Leiostomus xanthurus,fish,fish
menhaden,Brevoortia tyrannus,fish,fish
Jellyfish,Scyphozoa,fish,Other fish
Anchovy,Engraulidae,fish,fish
whiting,Micromesistius poutassou,fish,fish
Carp bream,Abramis brama,fish,fish
Sturgeon,Acipenseridae,fish,fish
Charr,Salvelinus,fish,fish
Crab,Brachyura,fish,Crustaceans
dab,Limanda limanda,fish,fish
dogfish,Squalus acanthias,fish,fish
eel,Anguilliformes,fish,fish
frog,Ranidae,fish,Amphibians
Garfish,Belone belone,fish,fish
Hake,Gadiformes,fish,fish
trout,Salvelinus namaycush,fish,fish
Catfish,Siluriformes,fish,fish
Thunnus ,Thunnus,fish,fish
Cetacea,Cetacea,fish,Cetaceans
Conch,Strombidae,fish,Mollusks
Roe,NULL,fish,Roe
Cichlidae,Cichlidae,fish,fish
turtle,Chelonia mydas,fish,Other fish
Ascidians,Ascidiacea,fish,Other fish
Crustaceans,NULL,fish,Crustaceans
Mollusks,NULL,fish,Mollusks
Vinegar,NULL,additive,Seasonings
Salad dressing,NULL,additive,Dressings
Sauce,NULL,additive,Sauces
Salt,NULL,additive,Seasonings
Butter,NULL,additive,Substitutes
Sugar,NULL,additive,Sugars
Mustard,NULL,additive,Condiments
Sugar substitute,NULL,additive,Substitutes
bouillon,NULL,additive,Baking goods
Leavening,NULL,additive,Baking goods
Gelatin,NULL,additive,Baking goods
Syrup,NULL,additive,Baking goods
Remoulade,NULL,additive,Condiments
Cream substitute,NULL,additive,Substitutes
Topping,NULL,additive,Baking goods
Pectin,NULL,additive,Baking goods
Spread,NULL,additive,Baking goods
Ketchup,NULL,additive,Condiments
Adobo,NULL,additive,Seasonings
Relish,NULL,additive,Condiments
Phyllo dough,NULL,additive,Baking goods
Molasses,NULL,additive,Baking goods
Wonton wrapper,NULL,additive,Wrappers
Stuffing,NULL,additive,Baking goods
Edible shell,NULL,additive,Wrappers
Beer,NULL,alcohol,Fermented beverages
Spirit,NULL,alcohol,Distilled beverages
Fortified wine,NULL,alcohol,Fortified wines
alcoholic beverage,NULL,alcohol,Alcoholic beverages
wine,NULL,alcohol,Fermented beverages
Apple cider,NULL,alcohol,Fermented beverages
Liquor,NULL,alcohol,Distilled beverages
Vodka,NULL,alcohol,Distilled beverages
Whisky,NULL,alcohol,Distilled beverages
Gin,NULL,alcohol,Distilled beverages
Rum,NULL,alcohol,Distilled beverages
Port wine,NULL,alcohol,Fortified wines
Vermouth,NULL,alcohol,Fortified wines
Sherry,NULL,alcohol,Fortified wines
Madeira wine,NULL,alcohol,Fortified wines
Water,NULL,Beverages,Waters
Energy drink,NULL,Beverages,Nutritional beverages
Sake,NULL,Beverages,Fermented beverages
Cocktail,NULL,Beverages,Alcoholic beverages
Fruit juice,NULL,fruit,Other beverages
Vegetable juice,NULL,vegetable,Other beverages
Horchata,NULL,Beverages,Other beverages
Soft drink,NULL,Beverages,Other beverages
Oat,Avena sativa,grain,Cereals
buckwheat,Fagopyrum esculentum,grain,Cereals
Tartary buckwheat,Fagopyrum tataricum,grain,Cereals
Barley,Hordeum vulgare,grain,Cereals
Rice,Oryza sativa,grain,Cereals
Millet,Panicum miliaceum,grain,Cereals
Rye,Secale cereale,grain,Cereals
Sorghum,Sorghum bicolor,grain,Cereals
wheat,Triticum aestivum,grain,Cereals
Corn,Zea mays,grain,Cereals
wheat,Triticum durum,grain,Cereals
Triticale,X Triticosecale rimpaui,grain,Cereals
cereal,NULL,grain,Cereal products
Pasta,NULL,grain,Cereal products
Biscuit,NULL,grain,Cereal products
Sourdough,NULL,grain,Doughs
Spelt,Triticum spelta,grain,Cereals
Wild rice,Zizania,grain,Cereals
Wheat,Triticum,grain,Cereals
Crisp bread,NULL,grain,Flat breads
Zwieback,NULL,grain,Leavened breads
Tortilla,NULL,grain,Flat breads
Bulgur,NULL,grain,Cereal products
Semolina,NULL,grain,Cereal products
Flour,NULL,grain,Cereal products
Dough,NULL,grain,Doughs
Pita,NULL,grain,Flat breads
Focaccia,NULL,grain,Flat breads
Bagel,NULL,grain,Leavened breads
bread,NULL,grain,Bread products
Piki bread,NULL,grain,Flat breads
French toast,NULL,grain,Leavened breads
Wheat bread,NULL,grain,Leavened breads
Cocoa,Theobroma cacao,cocoa,Cocoa
Chocolate,NULL,cocoa,Cocoa products
Hot chocolate,NULL,cocoa,Cocoa products
Coffee,Coffea,coffee,Coffee
Arabica,Coffea arabica,coffee,Coffee
mocha,NULL,coffee,Coffee products
Liquorice,NULL,Confectioneries,Candies
Nougat,NULL,Confectioneries,Other confectioneries
Toffee,NULL,Confectioneries,Other confectioneries
Cake,NULL,grain,Desserts
Pastry,NULL,grain,Desserts
Chewing gum,NULL,snack,Candies
Marzipan,NULL,grain,Other confectioneries
Marshmallow,NULL,snack,Candies
Fruit gum,NULL,snack,Candies
Other candy,NULL,snack,Candies
Meringue,NULL,snack,Other confectioneries
Icing,NULL,snack,Other confectioneries
Dulce de leche,NULL,snack,Spreads
custard,NULL,snack,Milk desserts
Gelatin,NULL,snack,Desserts
Junket,NULL,snack,Milk desserts
Pudding,NULL,snack,Desserts
Pie,NULL,grain,Desserts
Akutaq,NULL,snack,Desserts
Frozen yogurt,NULL,dairy,Frozen desserts
Milkshake,NULL,snack,Frozen desserts
mousse,NULL,snack,Desserts
Fudge,NULL,snack,Candies
Candy bar,NULL,snack,Candies
Pizza,NULL,pasta,Other dishes
Sausage,NULL,meat,Ground meat
Meatball,NULL,meat,Ground meat
Pate,NULL,meat,Ground meat
Dumpling,NULL,bakery,Other dishes
Soup,NULL,pasta,Other dishes
Burrito,NULL,meat,Tex-Mex cuisine
Hamburger,NULL,meat,Sandwiches
Baked beans,NULL,vegetable,Other dishes
Chili,NULL,additive,Tex-Mex cuisine
Taco,NULL,meat,Tex-Mex cuisine
Nachos,NULL,grain,Tex-Mex cuisine
Salad,NULL,vegetable,Other dishes
Egg roll,NULL,dairy,Asian cuisine
Stew,NULL,meat,Other dishes
Falafel,NULL,vegetable,Other dishes
Frybread,NULL,grain,Other dishes
Lasagna,NULL,pasta,Pasta dishes
Pancake,NULL,bakery,Other dishes
Waffle,NULL,bakery,Other dishes
Meatloaf,NULL,meat,Ground meat
Couscous,NULL,grain,Berber cuisine
Chimichanga,NULL,Dishes,Mexican cuisine
Tostada,NULL,grain,Mexican cuisine
Quesadilla,NULL,grain,Mexican cuisine
Baked potato,NULL,vegetable,Potato dishes
Hot dog,NULL,Dishes,Sandwiches
Enchilada,NULL,Dishes,Mexican cuisine
sandwich,NULL,Dishes,Sandwiches
Macaroni,NULL,pasta,Pasta dishes
Hushpuppy,NULL,Dishes,American cuisine
Veggie burger,NULL,soy,Sandwiches
Ravioli,NULL,pasta,Pasta dishes
Scrapple,NULL,grain,American cuisine
Succotash,NULL,vegetable,American cuisine
Tamale,NULL,meat,Latin American cuisine
Rice cake,NULL,grain,Asian cuisine
Empanada,NULL,grain,Latin American cuisine
Arepa,NULL,grain,Latin American cuisine
Gefilte fish,NULL,fish,Jewish cuisine
Fish burger,NULL,fish,Sandwiches
Pot pie,NULL,bakery,Other dishes
Hummus,NULL,vegetable,Levantine cuisine
Potato puffs,NULL,vegetable,Potato dishes
Potato gratin,NULL,vegetable,Potato dishes
Tallow,NULL,added fat,Animal fats
Lard,NULL,added fat,Animal fats
Shortening,NULL,added fat,Vegetable fats
Dripping,NULL,added fat,Animal fats
Margarine,NULL,added fat,Vegetable fats
Kiwi,Actinidia chinensis,fruit,Tropical fruit
Pineapple,Ananas comosus,fruit,Tropical fruit
apple,Annona reticulata,fruit,Tropical fruit
Star fruit,Averrhoa carambola,fruit,Tropical fruit
Papaya,Carica papaya,fruit,Tropical fruit
Lime,Citrus aurantiifolia,fruit,Citrus
Lemon,Citrus limon,fruit,Citrus
Pummelo,Citrus maxima,fruit,Citrus
tangerine,Citrus reticulata,fruit,Citrus
Clementine,Citrus reticulata,fruit,Citrus
Sweet orange,Citrus sinensis,fruit,Citrus
Quince,Cydonia oblonga,fruit,Pomes
Japanese persimmon,Diospyros kaki,fruit,Tropical fruit
crowberry,Empetrum nigrum,fruit,Berries
Loquat,Eriobotrya japonica,fruit,Tropical fruit
apple,Eugenia,fruit,Tropical fruit
Fig,Ficus carica,fruit,Other fruit
Strawberry,Fragaria X ananassa,fruit,Berries
huckleberry,Gaylussacia baccata,fruit,Berries
Sea-buckthornberry,Hippophae rhamnoides,fruit,Berries
Lichee,Litchi chinensis,fruit,Tropical fruit
Apple,Malus pumila,fruit,Pomes
Mango,Mangifera indica,fruit,Tropical fruit
Medlar,Mespilus germanica,fruit,Pomes
Mulberry,Morus,fruit,Berries
Black mulberry,Morus nigra,fruit,Berries
Passion fruit,Passiflora edulis,fruit,Tropical fruit
Date,Phoenix dactylifera,fruit,Other fruit
Black chokeberry,Photinia melanocarpa,fruit,Berries
Cherry,Prunus,fruit,Drupes
Plum,Prunus,fruit,Drupes
Prunus,Prunus,fruit,Drupes
Apricot,Prunus armeniaca,fruit,Drupes
plum,Prunus domestica,fruit,Drupes
Peach,Prunus persica,fruit,Drupes
Guava,Psidium guajava,fruit,Tropical fruit
Pomegranate,Punica granatum,fruit,Tropical fruit
Pear,Pyrus communis,fruit,Pomes
Blackcurrant,Ribes nigrum,fruit,Berries
Redcurrant,Ribes rubrum,fruit,Berries
Gooseberry,Ribes uva-crispa,fruit,Berries
Blackberry,Rubus,fruit,Berries
raspberry,Rubus,fruit,Berries
Rubus,Rubus,fruit,Berries
Cloudberry,Rubus chamaemorus,fruit,Berries
Rowanberry,Sorbus aucuparia,fruit,Berries
Blueberry,Vaccinium,fruit,Berries
huckberry,Vaccinium,fruit,Berries
Cranberry,Vaccinium,fruit,Berries
Tamarind,Tamarindus indica,fruit,Tropical fruit
Vaccinium,Vaccinium,fruit,Berries
blueberry,Vaccinium angustifolium,fruit,Berries
Sparkleberry,Vaccinium arboreum,fruit,Berries
Bilberry,Vaccinium myrtillus,fruit,Berries
Lingonberry,Vaccinium vitis-idaea,fruit,Berries
Banana,Musa acuminata,fruit,Tropical fruit
Bayberry,Myrica,fruit,Berries
bilberry,Vaccinium uliginosum,fruit,Berries
Buffalo currant,Ribes aureum var. villosum,fruit,Berries
Deerberry,Vaccinium stamineum,fruit,Berries
Longan,Dimocarpus longan,fruit,Tropical fruit
grape,Vitis labrusca,fruit,Berries
Nectarine,Prunus persica var. nucipersica,fruit,Drupes
Peach,Prunus persica var. persica,fruit,Drupes
Rambutan,Nephelium lappaceum,fruit,Tropical fruit
Pummelo,Citrus paradisi X Citrus maxima,fruit,Citrus
Grapefruit,Citrus X paradisi,fruit,Citrus
Jostaberry,Ribes äš_í_ nidigrolaria,fruit,Berries
rowanberry,Grataegosorbus mitschurinii,fruit,Berries
currant,Ribes glandulosum,fruit,Berries
Abiyuch,Crateva religiosa,fruit,Tropical fruit
Acerola,Malpighia emarginata,fruit,Tropical fruit
pear,Pyrus pyrifolia,fruit,Pomes
Breadfruit,Artocarpus altilis,fruit,Tropical fruit
Natal plum,Carissa macrocarpa,fruit,Tropical fruit
Cherimoya,Annona cherimola,fruit,Tropical fruit
Coconut,Cocos nucifera,fruit,Tropical fruit
Malus,Malus,fruit,Pomes
Squashberry,Viburnum edule,fruit,Berries
Durian,Durio zibethinus,fruit,Tropical fruit
Elderberry,Sambucus,fruit,Berries
Grape,Vitis,fruit,Berries
Jackfruit,Artocarpus heterophyllus,fruit,Tropical fruit
Jujube,Ziziphus zizyphus,fruit,Other fruit
Kumquat,Fortunella,fruit,Tropical fruit
Loganberry,Rubus loganobaccus,fruit,Berries
mangosteen,Garcinia mangostana,fruit,Tropical fruit
Ohelo,Vaccinium reticulatum,fruit,Berries
persimmon,Diospyros virginiana,fruit,Tropical fruit
Pitanga,Eugenia uniflora,fruit,Tropical fruit
pear,Opuntia macrorhiza,fruit,Tropical fruit
plantain,Musa X paradisiaca,fruit,Tropical fruit
Salmonberry,Rubus spectabilis,fruit,Berries
Sapodilla,Manilkara zapota,fruit,Tropical fruit
sapote,Pouteria sapota,fruit,Tropical fruit
Soursop,Annona muricata,fruit,Tropical fruit
Strawberry,Psidium cattleianum,fruit,Berries
apple,Annona squamosa,fruit,Tropical fruit
Boysenberry,Rubus ursinus X idaeus,fruit,Berries
lime,Citrus latifolia,fruit,Citrus
Feijoa,Feijoa sellowiana,fruit,Tropical fruit
chokecherry,Prunus virginiana,fruit,Drupes
Persimmon,Diospyros,fruit,Tropical fruit
Nance,Byrsonima crassifolia,fruit,Tropical fruit
Naranjilla,Solanum quitoense,fruit,Tropical fruit
bayberry,Myrica rubra,fruit,Berries
Saskatoon,Amelanchier alnifolia,fruit,Berries
Watermelon,Citrullus lanatus,fruit,Gourds
Muskmelon,Cucumis melo,fruit,Gourds
Cucumber,Cucumis sativus,fruit,Gourds
Cucurbita,Cucurbita,fruit,Gourds
gourd,Momordica charantia,fruit,Gourds
Butternut,Cucurbita moschata,fruit,Gourds
Calabash,Lagenaria siceraria,fruit,Gourds
Chayote,Sechium edule,fruit,Gourds
Tinda,Citrullus lanatus var. fistulosus,fruit,Gourds
melon,Cucumis metuliferus,fruit,Gourds
zucchini,Cucurbita pepo var. cylindrica,fruit,Gourds
pumpkin,Cucurbita maxima,fruit,Gourds
Angelica,Angelica keiskei,spice,Herbs
linden,Tilia argentea,spice,Herbs
Garlic,Allium sativum,spice,Herbs
Chives,Allium schoenoprasum,spice,Herbs
verbena,Aloysia triphylla,spice,Herbs
Dill,Anethum graveolens,spice,Herbs
celery,Apium graveolens,spice,Spices
Horseradish,Armoracia rusticana,spice,Spices
Tarragon,Artemisia dracunculus,spice,Herbs
Mugwort,Artemisia vulgaris,spice,Herbs
Borage,Borago officinalis,spice,Oilseed crops
Turnip,Brassica rapa var. rapa,spice,Herbs
Capers,Capparis spinosa,spice,Spices
Safflower,Carthamus tinctorius,spice,Oilseed crops
Caraway,Carum carvi,spice,Spices
camomile,Chamaemelum nobile,spice,Herbs
cinnamon,Cinnamomum aromaticum,spice,Spices
Coriander,Coriandrum sativum,spice,Herbs
Saffron,Crocus sativus,spice,Spices
Cumin,Cuminum cyminum,spice,Spices
Turmeric,Curcuma longa,spice,Spices
Lemon grass,Cymbopogon citratus,spice,Herbs
Cardamom,Elettaria cardamomum,spice,Spices
Fennel,Foeniculum vulgare,spice,Herbs
Sunflower,Helianthus annuus,spice,Oilseed crops
Hyssop,Hyssopus officinalis,spice,Herbs
Star anise,Illicium verum,spice,Spices
Sweet bay,Laurus nobilis,spice,Herbs
Lovage,Levisticum officinale,spice,Herbs
Flaxseed,Linum usitatissimum,spice,Oilseed crops
oregano,Lippia graveolens,spice,Herbs
camomile,Matricaria recutita,spice,Herbs
balm,Melissa officinalis,spice,Herbs
mint,Mentha,spice,Herbs
Cornmint,Mentha arvensis,spice,Herbs
Spearmint,Mentha spicata,spice,Herbs
Peppermint,Mentha X piperita,spice,Herbs
Nutmeg,Myristica fragrans,spice,Spices
Sweet basil,Ocimum basilicum,spice,Herbs
Evening primrose,Oenothera biennis,spice,Oilseed crops
Sweet marjoram,Origanum majorana,spice,Herbs
Pot marjoram,Origanum onites,spice,Herbs
oregano,Origanum vulgare,spice,Herbs
Poppy,Papaver,spice,Oilseed crops
Parsley,Petroselinum crispum,spice,Herbs
Anise,Pimpinella anisum,spice,Herbs
Pepper,Piper nigrum,spice,Spices
Purslane,Portulaca oleracea,spice,Herbs
Watercress,Rorippa nasturtium-aquaticum,spice,Herbs
Rosemary,Rosmarinus officinalis,spice,Herbs
Sorrel,Rumex acetosa,spice,Herbs
sage,Salvia officinalis,spice,Herbs
Summer savory,Satureja hortensis,spice,Herbs
Winter savory,Satureja montana,spice,Herbs
Sesame,Sesamum orientale,spice,Oilseed crops
Cloves,Syzygium aromaticum,spice,Spices
Dandelion,Taraxacum officinale,spice,Herbs
thyme,Thymus vulgaris,spice,Herbs
Linden,Tilia,spice,Herbs
linden,Tilia cordata,spice,Herbs
Fenugreek,Trigonella foenum-graecum,spice,Herbs
Vanilla,Vanilla,spice,Spices
verbena,Verbena officinalis,spice,Herbs
Ginger,Zingiber officinale,spice,Spices
Chinese chives,Allium tuberosum,spice,Herbs
Ginseng,Panax,spice,Spices
Lemon thyme,Thymus pulegioides,spice,Herbs
Welsh onion,Allium fistulosum,spice,Herbs
Celery leaves,Apium graveolens var. secalinum,spice,Herbs
oregano,Origanum X majoricum,spice,Herbs
sage,Salvia elegans,spice,Herbs
Alfalfa,Medicago sativa,spice,Herbs
Allspice,Pimenta dioica,spice,Spices
Amaranth,Amaranthus,spice,Herbs
Breadnut tree seed,Brosimum alicastrum,spice,Other seeds
Chervil,Anthriscus cerefolium,spice,Spices
Chia,Salvia hispanica,spice,Other seeds
Cottonseed,Gossypium,spice,Oilseed crops
Dock,Rumex,spice,Herbs
Fireweed,Chamerion angustifolium,spice,Herbs
Ginkgo nut,Ginkgo biloba,spice,Other seeds
Lotus,Nelumbo,spice,Other seeds
White mustard,Sinapis alba,spice,Spices
Opium poppy,Papaver somniferum,spice,Spices
Quinoa,Chenopodium quinoa,spice,Other seeds
Rose hip,Rosa,spice,Herbs
Roselle,Hibiscus sabdariffa,spice,Herbs
Hedge mustard,Sisymbrium,spice,Other seeds
Teff,Eragrostis tef,spice,Herbs
Wasabi,Wasabia japonica,spice,Spices
Tea leaf willow,Salix pulchra,spice,Herbs
Rowal,Pangium edule,spice,Other seeds
Epazote,Dysphania ambrosioides,spice,Herbs
Sourdock,Rumex articus,spice,Herbs
Cinnamon,Cinnamomum,spice,Spices
Oil palm,Elaeis,spice,Oilseed crops
Sago palm,Metroxylon sagu,spice,Oilseed crops
Curry,NULL,spice,Herb and spice mixtures
Canola,NULL,spice,Oilseed crops
Babassu palm,Attalea speciosa,spice,Oilseed crops
Shea tree,Vitellaria paradoxa,spice,Oilseed crops
Oil-seed Camellia,Camellia oleifera,spice,Oilseed crops
Ucuhuba,Virola surinamensis,spice,Oilseed crops
Yellow pond-lily,Nuphar lutea,spice,Herbs
Soft-necked garlic,Allium sativum L. var. sativum,spice,Herbs
Spice,NULL,spice,Herbs and Spices
Cheese,NULL,dairy,Fermented milk products
Milk,,dairy,Unfermented milks
Yogurt,NULL,dairy,Fermented milk products
Ymer,NULL,dairy,Fermented milk products
Butter,NULL,dairy,Other milk products
Cream,NULL,dairy,Other milk products
Whey,NULL,dairy,Other milk products
Casein,NULL,dairy,Other milk products
Kefir,NULL,dairy,Fermented milks
Buttermilk,NULL,dairy,Fermented milks
Butterfat,NULL,dairy,Other milk products
Cashew,Anacardium occidentale,nut,nut
Peanut,Arachis hypogaea,nut,nut
Brazil nut,Bertholletia excelsa,nut,nut
Pecan nut,Carya illinoinensis,nut,nut
Chestnut,Castanea,nut,nut
hazelnut,Corylus avellana,nut,nut
walnut,Juglans nigra,nut,nut
Pine,Pinus,nut,nut
Pistachio,Pistacia vera,nut,nut
Almond,Prunus dulcis,nut,nut
Macadamia nut,Macadamia tetraphylla,nut,nut
Acorn,Quercus,nut,nut
Beech nut,Fagus,nut,nut
Butternut,Juglans cinerea,nut,nut
chestnut,Castanea mollissima,nut,nut
Hazelnut,Corylus,nut,nut
Hickory nut,Carya,nut,nut
Pili nut,Canarium ovatum,nut,nut
pinyon,Pinus edulis,nut,nut
Walnut,Juglans,nut,nut
pea,Cajanus cajan,vegetable,Peas
Chickpea,Cicer arietinum,vegetable,Peas
Grass pea,Lathyrus sativus,vegetable,Peas
Lentils,Lens culinaris,vegetable,Lentils
Lupine,Lupinus,vegetable,Other pulses
Scarlet bean,Phaseolus coccineus,vegetable,Beans
Lima bean,Phaseolus lunatus,vegetable,Beans
bean,Phaseolus vulgaris,vegetable,Beans
pea,Pisum sativum,vegetable,Peas
Cowpea,Vigna unguiculata,vegetable,Peas
Catjang pea,Vigna unguiculata ssp. cylindrica,vegetable,Peas
Black-eyed pea,Vigna unguiculata ssp. unguiculata,vegetable,Peas
Yardlong bean,Vigna unguiculata ssp. sesquipedalis,vegetable,Peas
Bean,NULL,vegetable,Beans
Pulses,NULL,vegetable,Pulses
Snack bar,NULL,snack,Snack foods
Popcorn,NULL,snack,Snack foods
chip,NULL,snack,Snack foods
Corn chip,NULL,snack,Snack foods
Cracker,NULL,snack,Snack foods
Trail mix,NULL,snack,Snack foods
Soy bean,Glycine max,soy,Soy
Soy sauce,NULL,soy,Soy products
Miso,NULL,soy,Soy products
Tofu,NULL,soy,Soy products
Soy milk,NULL,soy,Soy products
Soy yogurt,NULL,soy,Soy products
Soy cream,NULL,soy,Soy products
Natto,NULL,soy,Soy products
Tea,Camellia sinensis,tea,Teas
cabbage,Brassica oleracea var. sabauda,vegetable,Cabbages
onion,Allium,vegetable,Onion-family vegetable
Leek,Allium porrum,vegetable,Onion-family vegetable
Burdock,Arctium lappa,vegetable,Root vegetable
Asparagus,Asparagus officinalis,vegetable,Shoot vegetable
beet,Beta vulgaris,vegetable,Leaf vegetable
mustard,Brassica juncea,vegetable,Cabbages
Swede,Brassica napus,vegetable,Root vegetable
Rape,Brassica napus var. napus,vegetable,Root vegetable
cabbage,Brassica oleracea,vegetable,Cabbages
Cauliflower,Brassica oleracea var. botrytis,vegetable,Cabbages
Brussel sprouts,Brassica oleracea var. gemmifera,vegetable,Cabbages
Kohlrabi,Brassica oleracea var. gongylodes,vegetable,Root vegetable
Broccoli,Brassica oleracea var. italica,vegetable,Cabbages
Pepper,Capsicum annuum,vegetable,Fruit vegetable
Endive,Cichorium endivia,vegetable,Leaf vegetable
Chicory,Cichorium intybus,vegetable,Root vegetable
artichoke,Cynara scolymus,vegetable,Shoot vegetable
carrot,Daucus carota,vegetable,Root vegetable
Rocket salad,Eruca vesicaria ssp. sativa,vegetable,Leaf vegetable
Sweet potato,Ipomoea batatas,vegetable,Tubers
Lettuce,Lactuca sativa,vegetable,Leaf vegetable
Garden cress,Lepidium sativum,vegetable,Leaf vegetable
Olive,Olea europaea,vegetable,Fruit vegetable
Parsnip,Pastinaca sativa,vegetable,Root vegetable
Avocado,Persea americana,vegetable,Fruit vegetable
Radish,Raphanus sativus,vegetable,Root vegetable
